     38/99     20.5G    0.0247   0.02078  0.004036   0.04952       154       640    0.9065    0.6691    0.7566    0.7493    0.6688   0.01576   0.01527  0.005734
     39/99     20.5G   0.02426   0.02033  0.003886   0.04847       169       640    0.9017     0.655    0.7304    0.7215    0.6414   0.01599   0.01519   0.00741
     40/99     20.5G   0.02414   0.02037   0.00388   0.04839       163       640    0.9304    0.6724     0.778    0.7708    0.6915   0.01533   0.01456  0.005254
     41/99     20.5G   0.02395      0.02  0.003852   0.04781       240       640    0.9317    0.6657    0.7494    0.7444    0.6635   0.01539   0.01444   0.00525
     42/99     20.5G   0.02386   0.02047  0.003728   0.04805       185       640    0.9271    0.6761    0.7509    0.7444    0.6618   0.01565    0.0148  0.005108
     43/99     20.5G   0.02357   0.01954  0.003907   0.04702       236       640    0.9354    0.6726    0.7544    0.7498    0.6705   0.01521   0.01466  0.004834
     44/99     20.5G   0.02342    0.0194  0.003695   0.04652       263       640    0.9185    0.6507    0.7462    0.7403    0.6623   0.01512   0.01439  0.005929
     45/99     20.5G   0.02321   0.01952  0.003526   0.04626       205       640    0.6083    0.8473    0.7845    0.7636    0.6921   0.01497   0.01415    0.0052
     46/99     20.5G   0.02319   0.01957  0.003561   0.04631       226       640    0.9225    0.6676    0.7794    0.7753    0.7018   0.01476   0.01407  0.005571
     47/99     20.5G     0.023    0.0193  0.003437   0.04574       217       640    0.5813    0.8471    0.7923    0.7876    0.7034   0.01511   0.01444  0.004824
     48/99     20.5G   0.02273   0.01938  0.003431   0.04555       136       640      0.75    0.7867    0.8102    0.8061     0.731   0.01438   0.01379  0.004939
     49/99     20.5G   0.02252   0.01909  0.003576   0.04519       204       640    0.6901    0.7902    0.7848    0.7805    0.6945   0.01492   0.01408  0.005536
     50/99     20.5G   0.02256   0.01899  0.003389   0.04494       202       640    0.7089    0.8037    0.7737    0.7677    0.6885   0.01528   0.01451  0.006221
     51/99     20.5G    0.0223    0.0192  0.003445   0.04494       211       640    0.7022    0.7896    0.8033    0.7995    0.7212   0.01465   0.01395  0.005614
     52/99     20.5G   0.02223   0.01891  0.003436   0.04458       221       640    0.6243    0.8188    0.7996    0.7949    0.7133    0.0147   0.01399  0.005465
     53/99     20.5G    0.0221    0.0187  0.003309    0.0441       197       640    0.7601    0.7905    0.7985    0.7962    0.7103   0.01507   0.01404   0.00494
     54/99     20.5G   0.02186   0.01844  0.003293    0.0436       134       640    0.6406    0.8304    0.8201    0.8159    0.7339    0.0145   0.01375  0.004472
     55/99     20.5G   0.02148   0.01828  0.003202   0.04297       234       640    0.6749    0.8155    0.8096    0.8049    0.7241   0.01429    0.0135  0.005122
     56/99     20.5G   0.02171   0.01845  0.003271   0.04343       190       640    0.6465    0.8185    0.8059    0.8036    0.7202   0.01445   0.01367  0.004223
     57/99     20.5G   0.02116   0.01828  0.002998   0.04243       186       640    0.7741    0.7735    0.8004    0.7983    0.7209   0.01451    0.0136  0.004339
     58/99     20.5G    0.0216   0.01861  0.003145   0.04335       213       640    0.6213    0.8089    0.8084    0.8054    0.7301    0.0142   0.01331  0.004427
     59/99     20.5G   0.02117   0.01807  0.003067   0.04231       197       640    0.6806    0.8066    0.8042    0.8025    0.7297    0.0139   0.01318  0.004211
     60/99     20.5G   0.02108   0.01766   0.00298   0.04171       157       640    0.6683    0.8339    0.8192    0.8167    0.7488   0.01361   0.01288  0.004798
     61/99     20.5G   0.02068   0.01743  0.002957   0.04107       201       640    0.7638     0.789    0.8013    0.7989    0.7373   0.01346   0.01285     0.005
     62/99     20.5G   0.02071   0.01757  0.003119    0.0414       201       640    0.7242    0.8118    0.8203    0.8182    0.7459   0.01349   0.01269  0.004955
     63/99     20.5G   0.02043   0.01717  0.003264   0.04087       248       640    0.7831    0.7841     0.809    0.8061    0.7403   0.01342   0.01267  0.005132
     64/99     20.5G   0.02024   0.01703  0.003025    0.0403       168       640    0.7849    0.7883    0.8078     0.805     0.745   0.01314   0.01236  0.004844
     65/99     20.5G   0.01992   0.01659   0.00304   0.03955       207       640    0.7044    0.8279     0.821    0.8184    0.7619   0.01262   0.01186    0.0046
     66/99     20.5G   0.02008   0.01674  0.002961   0.03977       206       640     0.788    0.8021    0.8192    0.8171      0.76   0.01291    0.0122  0.004633
     67/99     20.5G    0.0195   0.01635  0.002951    0.0388       233       640    0.7493    0.8141    0.8096    0.8077    0.7515    0.0128   0.01199  0.004397
     68/99     20.5G   0.01955   0.01623  0.003009    0.0388       181       640     0.779    0.7887    0.8097     0.807    0.7469   0.01291   0.01214  0.004627
     69/99     20.5G   0.01963   0.01653  0.002932   0.03909       160       640    0.7488    0.7749    0.7971    0.7951    0.7477   0.01204    0.0112   0.00481
     70/99     20.5G   0.01942    0.0161  0.002924   0.03844       161       640    0.6901    0.7928    0.7754    0.7736    0.7185   0.01274   0.01195  0.004405
     71/99     20.5G   0.01931   0.01626  0.002936    0.0385       215       640     0.687    0.8287    0.7917    0.7894    0.7423   0.01219   0.01134  0.004364
     72/99     20.5G   0.01911   0.01594  0.002827   0.03788       153       640    0.6639    0.8182    0.7903    0.7884    0.7331    0.0123    0.0115  0.004425
     73/99     20.5G   0.01895   0.01583  0.002805   0.03759       169       640    0.7602    0.7485    0.7783    0.7769    0.7264   0.01217   0.01129   0.00446
     74/99     20.5G   0.01888   0.01587  0.002825   0.03757       223       640    0.6882    0.7893    0.7779     0.776    0.7278   0.01208   0.01121  0.004965
     75/99     20.5G   0.01878    0.0155  0.002759   0.03705       240       640    0.7726    0.7485     0.782    0.7799     0.737   0.01184   0.01095  0.005073
     76/99     20.5G   0.01892   0.01589  0.002698   0.03751       175       640    0.8189    0.7467    0.7964    0.7935    0.7476   0.01199   0.01111  0.004782
